,name,price,size
0,Revive,$25.95, 3.5 oz.
1,Big,$11.95, 4 oz.
2,Candy Rain,$11.95, 3.3 fl. oz.
3,Rehab,$12.95, 3.3 fl. oz.
4,Honey I Washed My Hair,$12.95, 1.9 oz.
5,American Cream,$10.95, 3.3 fl. Oz.
6,Fairly Traded Honey,$12.95, 3.3 fl. oz.
7,Seanik,$12.95, 1.9 oz.
8,Jumping Juniper,$12.95, 1.9 oz.
9,Super Milk,$19.95, 3.3 fl. oz.
10,Curl Power,$16.95, 3.3 oz.
11,Veganese,$10.95, 3.5 oz.
12,Power,$12.95, 3.3 oz.
13,Jason And The Argan Oil,$12.95, 1.9 oz.
