,name,price,size
0,American Cream,$13.95, 1.9 oz.
1,Big,$13.95, 2.4 oz.
2,The Golden Cap,$13.95, 2.2 oz.
3,Candy Rain,$11.95, 3.3 fl. oz.
4,Happy Happy Joy Joy,$15.95, 3.3 fl. oz.
5,American Cream,$10.95, 3.3 fl. Oz.
6,Retread,$13.95, 3.1 fl. oz.
7,Veganese,$10.95, 3.5 oz.
8,Power,$12.95, 3.3 oz.
9,Glory,$12.95, 3.3 oz.
10,Avocado,$16.95, 3.5 oz.
